FID	SHAPE	TBBH	DLMC	TBMJ	Shape_Leng	Shape_Area
0	POLYGON ((11135971.0803 2710491.2501,11135968.1246 2710484.883,11135961.2853 2710475.233,11135951.6168 2710465.4158,11135948.7961 2710463.402,11135948.1938 2710461.3217,11135956.7354 2710450.2049,11135957.76 2710443.6694,11135956.4021 2710439.585,11135952.132 2710436.7181,11135946.8534 2710436.9242,11135943.8612 2710438.9107,11135932.2478 2710452.7063,11135928.3224 2710457.997,11135928.1552 2710461.074,11135929.3679 2710463.4649,11135930.9588 2710466.781,11135930.7183 2710469.1651,11135928.4867 2710472.0785,11135925.6514 2710473.2194,11135921.9807 2710473.0483,11135910.6939 2710465.8397,11135908.4919 2710462.3669,11135908.504 2710459.7508,11135912.5784 2710455.3072,11135915.4265 2710451.3964,11135915.4426 2710447.934,11135919.1299 2710444.4888,11135926.024 2710442.2897,11135927.6348 2710441.2969,11135929.039 2710435.3788,11135927.7007 2710427.0626,11135923.0689 2710419.7313,11135910.1994 2710407.4369,11135901.6765 2710398.0098,11135891.2533 2710369.4918,11135886.0993 2710359.3111,11135882.4943 2710344.9827,11135878.9284 2710322.1907,11135876.7322 2710300.944,11135870.6789 2710286.7581,11135863.4026 2710272.4125,11135853.8161 2710261.4416,11135829.1091 2710245.3216,11135807.7175 2710239.9891,11135792.4262 2710238.6863,11135763.6221 2710248.3999,11135739.9747 2710267.6786,11135727.5886 2710299.6289,11135714.5135 2710348.1958,11135718.3693 2710374.3747,11135728.9874 2710393.8144,11135745.021 2710432.9771,11135763.8133 2710471.0756,11135766.5482 2710475.0895,11135777.8567 2710477.6048,11135800.2021 2710475.2475,11135822.0864 2710473.3496,11135833.6916 2710477.8667,11135850.7845 2710486.5646,11135859.965 2710486.146,11135866.8523 2710485.4088,11135876.1929 2710483.4521,11135885.976 2710485.0368,11135887.9497 2710488.2777,11135885.9232 2710496.4243,11135876.5142 2710513.154,11135861.4552 2710527.7029,11135838.7604 2710539.4459,11135821.3008 2710543.8268,11135799.1219 2710543.2611,11135787.3316 2710545.668,11135778.4214 2710553.7823,11135776.703 2710561.4687,11135777.8868 2710570.092,11135785.4998 2710577.8222,11135792.0341 2710587.24,11135791.9999 2710594.6266,11135787.8375 2710601.532,11135781.7 2710605.5044,11135764.6936 2710611.1185,11135757.496 2710612.7775,11135751.3092 2710618.6657,11135751.8862 2710620.7042,11135756.4697 2710629.0528,11135762.3581 2710626.3425,11135771.8247 2710624.6995,11135783.9367 2710622.3508,11135795.3754 2710618.8137,11135812.5707 2710613.006,11135826.0083 2710609.5498,11135851.4528 2710603.0263,11135861.6472 2710598.4061,11135867.9139 2710594.055,11135870.1077 2710590.5814,11135872.6108 2710581.8321,11135875.5995 2710568.4524,11135877.5867 2710563.2552,11135886.8199 2710550.5513,11135894.145 2710541.0702,11135897.3896 2710534.1551,11135899.9545 2710527.6322,11135903.6723 2710518.5295,11135908.0569 2710512.2663,11135915.5506 2710504.9041,11135925.9745 2710497.0533,11135933.9127 2710493.9668,11135943.2001 2710492.4661,11135960.6573 2710491.7944,11135971.0803 2710491.2501))	379	旱地	1489.7	1375.76858615	47227.8152174
1	POLYGON ((11138040.6565 2710579.5451,11138055.5876 2710572.7503,11138069.8568 2710566.6706,11138094.3528 2710552.8898,11138105.1405 2710553.2062,11138110.1455 2710562.3128,11138131.395 2710605.9585,11138148.2607 2710635.1571,11138158.4731 2710630.6618,11138177.5328 2710629.6801,11138180.6267 2710620.8776,11138185.6799 2710619.2977,11138186.2993 2710607.2779,11138180.3693 2710589.6176,11138185.9999 2710585.1014,11138182.731 2710581.3461,11138187.1311 2710577.3587,11138193.367 2710571.2422,11138198.3931 2710560.8456,11138201.8958 2710542.4269,11138190.7364 2710514.0561,11138219.719 2710499.2269,11138236.7156 2710536.1737,11138259.2604 2710570.1343,11138266.8201 2710562.8034,11138272.009 2710560.1244,11138280.5818 2710555.9273,11138286.2741 2710553.974,11138293.9097 2710552.674,11138305.1456 2710554.2032,11138310.4759 2710554.7854,11138315.6611 2710554.7876,11138325.7478 2710551.5335,11138328.6094 2710549.2489,11138327.9664 2710494.3352,11138331.6198 2710463.249,11138338.9122 2710452.6877,11138364.1927 2710441.7763,11138383.3294 2710432.3609,11138387.5909 2710423.2816,11138383.9093 2710392.7341,11138382.8039 2710325.8028,11138390.2928 2710314.1104,11138405.1688 2710313.5711,11138417.8277 2710314.2357,11138426.1398 2710311.7526,11138437.2918 2710301.433,11138448.1169 2710290.5552,11138461.5761 2710289.4644,11138476.8498 2710296.4257,11138488.4815 2710312.8996,11138486.2719 2710362.3004,11138486.255 2710392.3063,11138480.7819 2710422.31,11138473.8557 2710447.5568,11138454.5504 2710494.0193,11138437.2587 2710512.2224,11138428.2709 2710525.7793,11138430.0686 2710537.3142,11138445.0621 2710547.0754,11138463.2444 2710558.796,11138489.0689 2710565.3971,11138518.1681 2710567.609,11138543.2676 2710570.5509,11138547.1185 2710572.6982,11138547.9053 2710575.1395,11138547.8151 2710582.6796,11138564.8337 2710575.6054,11138584.6961 2710573.2911,11138613.4342 2710568.6126,11138629.6408 2710537.6945,11138642.4395 2710533.0472,11138635.9564 2710530.3547,11138628.8925 2710523.3474,11138628.8621 2710522.7744,11138621.7803 2710516.9222,11138609.7926 2710511.0681,11138609.8018 2710495.5339,11138618.3479 2710481.649,11138626.1649 2710472.3336,11138674.1412 2710443.8489,11138687.2264 2710436.1807,11138709.4161 2710411.8142,11138707.035 2710409.789,11138687.9655 2710393.573,11138669.2935 2710379.2334,11138665.9947 2710376.6995,11138663.1955 2710374.542,11138661.641 2710380.061,11138661.6357 2710388.8337,11138664.537 2710398.5205,11138663.6237 2710409.1197,11138653.9908 2710417.3389,11138627.0934 2710434.6853,11138596.7462 2710450.2024,11138588.2039 2710457.3248,11138582.3829 2710471.3952,11138573.659 2710477.7869,11138567.4834 2710475.2239,11138566.0391 2710457.861,11138564.5937 2710443.7876,11138551.1612 2710424.9564,11138550.6229 2710412.3469,11138562.2497 2710412.9009,11138571.3339 2710411.4439,11138593.4993 2710408.1676,11138604.5809 2710408.5385,11138613.6644 2710408.1779,11138621.2983 2710401.7867,11138626.2081 2710393.5653,11138630.0301 2710380.5919,11138615.1451 2710359.2012,11138606.4308 2710349.5105,11138592.4492 2710335.6131,11138583.9585 2710326.7367,11138584.0195 2710313.1468,11138587.8617 2710293.5511,11138589.8981 2710283.1665,11138586.1491 2710251.4658,11138579.8944 2710217.0896,11138575.6624 2710193.8293,11138568.8105 2710146.2462,11138563.0979 2710144.9421,11138546.3622 2710158.6581,11138539.0798 2710171.4842,11138536.4304 2710183.7734,11138535.3474 2710203.5205,11138520.4178 2710201.5921,11138507.0681 2710196.5151,11138459.7633 2710229.6197,11138409.0695 2710252.0091,11138331.6742 2710274.2768,11138251.3799 2710343.3616,11138236.524 2710360.4053,11138220.5921 2710412.069,11138200.3412 2710460.9901,11138138.555 2710476.5019,11138091.4771 2710471.9299,11138056.9858 2710437.4627,11138050.1448 2710393.8639,11138049.732 2710374.4796,11138045.8124 2710368.7422,11138039.3518 2710366.0496,11138037.9285 2710366.2493,11138023.9224 2710366.7901,11138019.6475 2710367.5187,11138012.6456 2710368.2475,11138006.9166 2710367.5117,11138003.8758 2710364.7888,11137999.2797 2710359.0269,11137990.6318 2710354.9157,11137968.8201 2710360.544,11137954.4169 2710373.2764,11137937.0374 2710385.4502,11137924.2966 2710389.7489,11137899.804 2710394.8187,11137900.7888 2710409.1369,11137901.0559 2710414.894,11137898.6008 2710422.6595,11137892.145 2710430.88,11137883.9693 2710430.8746,11137872.8895 2710427.7611,11137863.5365 2710423.8272,11137855.6351 2710420.258,11137850.2782 2710416.8746,11137832.4303 2710425.2546,11137829.2758 2710450.9138,11137854.5533 2710504.8223,11137873.6326 2710585.599,11137926.2351 2710643.9119,11137963.1606 2710675.2565,11138016.6144 2710679.78,11138053.5095 2710701.9059,11138057.0635 2710701.8003,11138035.7341 2710668.5736,11138026.0957 2710648.7589,11137995.9004 2710601.5989,11138012.6633 2710594.7291,11138033.4987 2710582.8018,11138040.6565 2710579.5451),(11138004.3495 2710393.0251,11138008.4338 2710397.3217,11138012.7893 2710405.0926,11138023.8554 2710432.8773,11138025.2967 2710452.7066,11138021.9325 2710459.4666,11138020.2022 2710466.2266,11138021.6485 2710477.6509,11138021.9201 2710481.4887,11138021.1896 2710487.5191,11138018.5535 2710490.4416,11138007.1991 2710490.7081,11138001.6571 2710491.619,11137995.478 2710495.2701,11137989.2086 2710498.922,11137982.9382 2710503.0301,11137976.2145 2710506.5901,11137972.3982 2710508.7805,11137968.3102 2710510.6972,11137965.4033 2710511.2439,11137962.4975 2710508.5012,11137962.9562 2710500.5513,11137971.4336 2710451.2121,11137972.1711 2710431.6577,11137970.0008 2710415.6669,11137968.3753 2710399.4916,11137988.543 2710395.3915,11138000.0805 2710391.7435,11138004.3495 2710393.0251))	152	园地	174938.39	4122.6504551	155888.703472
2	POLYGON ((11136981.0554 2710640.2483,11136958.8428 2710618.9151,11136936.8782 2710631.1471,11136916.0056 2710668.4563,11136894.473 2710717.8942,11136871.1082 2710728.7047,11136863.373 2710750.1013,11136865.6566 2710778.0153,11136880.4377 2710798.3034,11136883.2856 2710801.373,11136919.1628 2710812.8385,11136968.0387 2710805.5829,11136996.2876 2710781.6532,11137007.7584 2710734.5944,11137006.3027 2710701.4274,11136993.8081 2710664.5706,11136981.0554 2710640.2483))	9	林地	16361.45	530.519468697	18574.956235
3	POLYGON ((11136656.1252 2710816.2595,11136637.6497 2710744.343,11136631.488 2710605.0867,11136627.4953 2710422.881,11136626.8536 2710391.1985,11136597.7454 2710406.5739,11136574.5667 2710415.538,11136551.0544 2710423.5965,11136546.6324 2710425.1116,11136534.9312 2710431.0342,11136518.8177 2710438.9048,11136484.7112 2710453.0919,11136462.0851 2710463.3932,11136445.9722 2710471.1238,11136437.3029 2710471.5055,11136425.6702 2710477.78,11136414.4674 2710481.8059,11136409.9876 2710483.1914,11136400.5082 2710477.2407,11136391.9966 2710473.8251,11136371.3112 2710472.6044,11136340.9626 2710475.1346,11136323.4772 2710477.3037,11136299.4295 2710477.4726,11136270.6314 2710477.3383,11136249.9561 2710473.9364,11136230.1158 2710471.4532,11136215.7205 2710470.4723,11136211.3903 2710469.346,11136218.0524 2710520.1785,11136253.2027 2710514.4648,11136248.9594 2710563.604,11136315.8708 2710559.6414,11136350.4531 2710583.5807,11136362.535 2710627.1856,11136363.9657 2710641.085,11136380.9315 2710633.4162,11136384.6098 2710627.5556,11136407.8389 2710637.0148,11136414.3241 2710656.014,11136405.6729 2710667.462,11136395.9352 2710669.8212,11136373.569 2710675.0604,11136375.6846 2710713.0084,11136421.6711 2710689.9788,11136447.9352 2710667.3917,11136449.795 2710594.9975,11136464.6733 2710600.9445,11136510.0322 2710605.9646,11136530.9884 2710676.3277,11136571.2677 2710739.3002,11136588.9438 2710728.9627,11136605.3894 2710755.2219,11136603.1933 2710777.9213,11136600.5795 2710797.6798,11136605.5202 2710849.5342,11136612.8139 2710851.7055,11136635.1863 2710852.3438,11136656.1252 2710816.2595))	6	园地	6216.62	1912.81443618	78290.7328173
4	POLYGON ((11136656.1252 2710816.2595,11136660.2092 2710832.155,11136689.8928 2710869.0985,11136691.88 2710869.6485,11136742.1929 2710883.5838,11136751.7409 2710886.2283,11136757.4482 2710887.5361,11136757.4046 2710886.1605,11136755.0147 2710881.4322,11136766.2339 2710863.9064,11136771.3744 2710836.1443,11136747.7525 2710825.615,11136746.1149 2710791.6765,11136691.8789 2710800.9093,11136662.0907 2710805.9808,11136656.1252 2710816.2595))	812	园地	767.08	346.510066405	7057.73220074
5	POLYGON ((11136877.2547 2710874.8998,11136879.0808 2710870.0404,11136880.1884 2710860.1601,11136862.8511 2710861.9499,11136844.041 2710866.1375,11136829.2994 2710837.4817,11136821.6914 2710831.5686,11136808.6789 2710838.4548,11136789.8831 2710854.1308,11136787.9775 2710864.2745,11136784.1359 2710876.8138,11136774.5638 2710886.3876,11136773.9813 2710891.3244,11136814.1927 2710900.5393,11136820.7735 2710901.3382,11136819.0727 2710898.3208,11136816.7992 2710892.7713,11136811.2955 2710875.7706,11136817.0751 2710871.9875,11136826.5299 2710873.4025,11136856.9055 2710876.945,11136857.4773 2710876.8878,11136877.2547 2710874.8998))	799	园地	84939.96	317.550507503	2986.16845451
6	POLYGON ((11136877.2547 2710874.8998,11136857.4773 2710876.8878,11136856.9055 2710876.945,11136826.5299 2710873.4025,11136817.0751 2710871.9875,11136811.2955 2710875.7706,11136816.7992 2710892.7713,11136819.0727 2710898.3208,11136820.7735 2710901.3382,11136848.6725 2710904.726,11136848.1124 2710897.1143,11136848.1305 2710897.1079,11136864.0085 2710895.2483,11136869.399 2710896.3729,11136874.4425 2710882.5888,11136877.2547 2710874.8998))	813	园地	808.57	174.944641148	1444.14653561
7	POLYGON ((11136904.3865 2710911.4914,11136928.2327 2710914.388,11136935.922 2710915.3224,11136932.3701 2710905.195,11136927.6722 2710881.5573,11136919.9768 2710866.6454,11136912.5898 2710865.1236,11136904.2675 2710866.0148,11136897.7681 2710872.493,11136904.5129 2710893.165,11136909.4518 2710904.531,11136907.5745 2710907.1096,11136904.3865 2710911.4914))	815	园地	26997.04	151.214200189	1193.074374
8	POLYGON ((11136880.6864 2710927.9592,11136881.4413 2710925.9717,11136894.782 2710917.6967,11136904.0572 2710911.9441,11136904.3865 2710911.4914,11136848.6725 2710904.726,11136849.4905 2710915.857,11136859.6713 2710932.7361,11136873.819 2710931.733,11136880.6864 2710927.9592))	814	旱地	6367.33	138.314074301	917.979060925
9	POLYGON ((11138053.5095 2710701.9059,11138016.6144 2710679.78,11137963.1606 2710675.2565,11137926.2351 2710643.9119,11137873.6326 2710585.599,11137854.5533 2710504.8223,11137829.2758 2710450.9138,11137832.4303 2710425.2546,11137850.2782 2710416.8746,11137855.6351 2710420.258,11137863.5365 2710423.8272,11137872.8895 2710427.7611,11137883.9693 2710430.8746,11137892.145 2710430.88,11137898.6008 2710422.6595,11137901.0559 2710414.894,11137900.7888 2710409.1369,11137899.804 2710394.8187,11137924.2966 2710389.7489,11137937.0374 2710385.4502,11137954.4169 2710373.2764,11137968.8201 2710360.544,11137990.6318 2710354.9157,11137999.2797 2710359.0269,11138003.8758 2710364.7888,11138006.9166 2710367.5117,11138012.6456 2710368.2475,11138019.6475 2710367.5187,11138023.9224 2710366.7901,11138037.9285 2710366.2493,11138039.3518 2710366.0496,11138045.8124 2710368.7422,11138049.732 2710374.4796,11138050.1448 2710393.8639,11138056.9858 2710437.4627,11138091.4771 2710471.9299,11138138.555 2710476.5019,11138200.3412 2710460.9901,11138220.5921 2710412.069,11138236.524 2710360.4053,11138251.3799 2710343.3616,11138331.6742 2710274.2768,11138409.0695 2710252.0091,11138459.7633 2710229.6197,11138507.0681 2710196.5151,11138508.3762 2710172.3096,11138514.1915 2710149.0821,11138515.0942 2710135.4352,11138522.9433 2710134.3232,11138528.8885 2710130.4357,11138533.7278 2710125.6124,11138537.2806 2710118.1736,11138536.8841 2710113.738,11138536.7951 2710112.7416,11138530.5045 2710100.8104,11138532.0375 2710089.448,11138536.5183 2710081.6405,11138544.308 2710079.8121,11138565.8485 2710068.9147,11138569.9487 2710064.2665,11138567.2249 2710009.8407,11138565.9661 2709988.9996,11138563.9509 2709955.638,11138539.3353 2709956.7776,11138532.3744 2709956.9255,11138525.1234 2709955.4563,11138521.0903 2709952.745,11138518.9048 2709949.2641,11138519.526 2709943.4022,11138524.5959 2709940.433,11138532.156 2709939.3303,11138537.3562 2709933.8483,11138543.5205 2709925.6179,11138553.7642 2709896.5204,11138554.3849 2709890.7782,11138555.9143 2709888.0024,11138558.8923 2709887.2081,11138563.7813 2709884.7767,11138566.9483 2709881.6493,11138568.295 2709879.8301,11138569.7893 2709878.2511,11138572.319 2709877.9334,11138573.9415 2709878.5446,11138576.5337 2709868.1019,11138577.701 2709863.4009,11138587.7981 2709801.3846,11138590.7786 2709756.4834,11138599.275 2709720.9259,11138601.116 2709700.3097,11138600.8518 2709699.772,11138594.634 2709691.0622,11138578.724 2709688.2233,11138575.0659 2709682.6958,11138574.8939 2709682.4364,11138574.8082 2709682.3623,11138572.8939 2709680.7004,11138570.6458 2709681.0215,11138556.7782 2709683.0103,11138510.9006 2709688.0958,11138516.2323 2709718.826,11138462.027 2709727.2729,11138455.4428 2709695.3989,11138444.7368 2709697.5687,11138421.4747 2709699.9367,11138375.7604 2709704.5888,11138366.21 2709705.4045,11138357.5224 2709706.1461,11138356.2589 2709706.2536,11138344.9144 2709708.9131,11138320.8023 2709713.6656,11138292.2561 2709717.5215,11138269.182 2709720.3658,11138244.5951 2709724.8776,11138211.0626 2709727.2756,11138197.1832 2709729.7641,11138183.1773 2709732.2553,11138176.6422 2709733.417,11138156.0951 2709738.1856,11138145.6722 2709741.6506,11138131.7299 2709746.2857,11138127.33 2709747.6826,11138106.7525 2709754.2174,11138076.9108 2709759.5877,11138066.4402 2709761.6131,11138065.3987 2709762.1822,11138057.6226 2709766.435,11138051.0995 2709769.6411,11138039.1825 2709768.5928,11138022.2997 2709772.7567,11138002.3235 2709767.4518,11137996.6047 2709765.9178,11137974.5998 2709760.1567,11137952.8254 2709756.0711,11137935.2428 2709753.8384,11137922.4139 2709751.8658,11137912.9971 2709748.714,11137904.4511 2709745.8847,11137888.6928 2709743.3409,11137873.6373 2709743.0336,11137861.9048 2709743.8562,11137843.2208 2709749.5775,11137817.7829 2709757.3657,11137794.7172 2709765.3901,11137782.1123 2709769.7746,11137774.1283 2709772.5517,11137760.1057 2709777.0836,11137744.7692 2709782.0412,11137740.0808 2709783.5564,11137726.5865 2709787.7616,11137725.9326 2709801.2405,11137725.1339 2709819.0392,11137724.7997 2709828.0751,11137725.9701 2709832.3593,11137728.4574 2709834.8243,11137731.4777 2709837.8303,11137732.7196 2709839.4518,11137734.4334 2709841.9731,11137734.7229 2709843.7099,11137735.1483 2709848.5399,11137734.8164 2709849.3356,11137733.8304 2709850.3185,11137731.8608 2709851.7457,11137719.3133 2709858.2196,11137710.1195 2709863.2941,11137709.6538 2709866.9029,11137707.8299 2709873.4399,11137704.6163 2709880.2741,11137711.7542 2709884.4179,11137716.133 2709889.5845,11137717.0604 2709894.9747,11137721.6792 2709899.6637,11137727.973 2709902.3257,11137734.6014 2709909.8965,11137738.3728 2709917.8131,11137738.3303 2709930.2508,11137740.1871 2709930.0264,11137747.0291 2709932.6663,11137753.4722 2709938.0188,11137757.1805 2709941.0996,11137757.7042 2709948.3709,11137750.2574 2709956.3505,11137737.0322 2709971.9454,11137727.5725 2709974.5106,11137716.8233 2709975.3932,11137710.8972 2709974.8071,11137706.6676 2709967.8917,11137703.7096 2709966.3874,11137694.2769 2709962.9896,11137687.4219 2709962.9582,11137687.4465 2709957.5531,11137680.1645 2709956.1101,11137680.9604 2709960.5112,11137682.2674 2709969.0931,11137688.7265 2709996.2064,11137694.9266 2710014.14,11137698.1295 2710016.9386,11137703.9095 2710019.5309,11137704.3993 2710019.7512,11137705.5872 2710021.5626,11137706.6193 2710024.9528,11137703.9486 2710036.6764,11137697.5107 2710054.5521,11137695.9393 2710063.2576,11137695.2855 2710066.8805,11137691.8994 2710071.4537,11137689.4667 2710084.1093,11137693.0908 2710102.0172,11137707.3499 2710128.566,11137729.5474 2710131.9828,11137759.295 2710137.9263,11137764.7082 2710150.1765,11137764.5808 2710178.2943,11137782.0554 2710210.7718,11137806.2541 2710234.4167,11137823.7288 2710266.8942,11137813.853 2710300.7747,11137798.6109 2710312.0134,11137792.8093 2710318.4052,11137794.5297 2710341.0303,11137804.7723 2710360.3324,11137803.8277 2710367.6634,11137776.3842 2710389.5436,11137763.5878 2710397.4315,11137758.0304 2710416.9669,11137756.1493 2710429.7951,11137749.6956 2710445.9644,11137735.043 2710461.1792,11137721.6638 2710463.5629,11137710.1436 2710458.0085,11137706.2784 2710439.3468,11137708.7714 2710425.6044,11137717.1034 2710397.2182,11137717.2059 2710374.6015,11137716.379 2710355.9537,11137715.5812 2710330.8878,11137705.7146 2710314.6672,11137705.9103 2710319.5348,11137692.8699 2710381.2138,11137678.0148 2710441.0509,11137682.6708 2710486.3069,11137719.5263 2710532.9334,11137744.8921 2710567.2816,11137744.7453 2710599.679,11137733.6608 2710632.0262,11137733.4418 2710680.3168,11137743.289 2710686.3401,11137769.2679 2710687.2191,11137778.4583 2710692.5801,11137777.443 2710699.3125,11137776.9009 2710702.9061,11137766.938 2710723.5736,11137760.3585 2710736.0791,11137722.2204 2710792.971,11137713.5085 2710808.333,11137717.5014 2710813.6071,11137727.7519 2710863.0662,11137735.4601 2710905.2808,11137741.1279 2710940.8719,11137741.5243 2710941.0778,11137752.2961 2710930.1731,11137754.1097 2710918.4258,11137759.2435 2710913.6402,11137768.1024 2710900.055,11137784.1759 2710840.2819,11137791.2141 2710847.5278,11137809.098 2710842.5335,11137829.4775 2710814.3066,11137841.9535 2710801.0052,11137844.6773 2710793.2697,11137862.0393 2710771.4411,11137881.3956 2710749.0873,11137895.6054 2710748.8852,11137956.6764 2710766.7982,11137965.4101 2710766.3038,11138010.7125 2710702.9242,11138013.7787 2710700.5337,11138033.7546 2710702.4952,11138053.5095 2710701.9059),(11138098.9317 2710201.7213,11138090.5481 2710212.0276,11138085.3087 2710223.558,11138093.9148 2710226.083,11138096.9588 2710230.4656,11138097.5649 2710234.5677,11138097.1693 2710236.5408,11138087.5337 2710240.6335,11138084.082 2710243.034,11138082.1551 2710248.1719,11138082.5673 2710288.629,11138082.5328 2710296.289,11138085.3412 2710306.7148,11138084.7247 2710311.4996,11138084.3279 2710312.5654,11138073.7027 2710311.8148,11138064.8792 2710310.3681,11138061.0601 2710309.9082,11138056.5134 2710309.9056,11138051.1478 2710309.6289,11138043.6911 2710309.4409,11138036.5057 2710308.7059,11138035.3247 2710306.5087,11138033.6001 2710301.2013,11138032.5391 2710287.9814,11138029.8973 2710280.1895,11138027.4274 2710273.8346,11138025.4369 2710266.704,11138024.9762 2710263.3505,11138022.5389 2710258.7185,11138028.6662 2710256.6402,11138036.8007 2710234.4503,11138057.1575 2710199.7522,11138057.7598 2710199.7603,11138071.4912 2710199.7685,11138080.4042 2710197.8525,11138088.5003 2710195.936,11138096.5031 2710194.2018,11138102.505 2710194.023,11138107.5077 2710193.0199,11138108.2366 2710190.6423,11138098.6953 2710179.0177,11138097.3345 2710178.5306,11138104.1625 2710159.3527,11138109.2619 2710147.2799,11138111.4506 2710138.0407,11138113.8169 2710132.2786,11138117.7287 2710130.5439,11138123.1845 2710132.0094,11138131.9141 2710134.4857,11138151.3705 2710140.8091,11138152.8245 2710144.6522,11138151.6373 2710151.1463,11138150.3615 2710156.5436,11138148.2672 2710162.3059,11138146.809 2710166.6956,11138146.0789 2710170.9947,11138145.8043 2710175.1121,11138145.8028 2710178.0391,11138146.6549 2710180.611,11138130.8684 2710186.1194,11138108.7803 2710195.1502,11138098.9317 2710201.7213),(11138110.3245 2709832.742,11138116.9138 2709835.8241,11138119.1043 2709838.168,11138124.2547 2709856.9226,11138130.3853 2709882.5637,11138128.3341 2709888.8977,11138124.5126 2709892.052,11138107.8425 2709896.8767,11138086.103 2709847.8028,11138081.9934 2709838.5264,11138084.962 2709837.2341,11138099.0254 2709831.9124,11138110.3245 2709832.742))	162	林地	23087.05	5906.71676614	567061.376329
